Item,Date,Quantity,Supplied,Price,Amount,Invoice
* Woolworths asian salad bowl pdm 230g,2026-03-16,1,1,5.5,5.5,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Woolworths mexican style salad bowl 220g,2026-03-16,1,1,5.5,5.5,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Woolworths white choc & macadamia cookies 5 pack,2025-12-18,1,1,3.8,3.8,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Birds eye deli french fries garlic herb & lemon 600g,2026-03-01,1,1,4.5,4.5,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Cadbury baking milk chocolate chips value pack 410g,2026-03-01,1,1,8.4,8.4,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Campbell's real stock chicken pdm 1l,2026-03-16,1,1,4.0,4.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Campbell's real stock chicken salt reduced 1l,2026-03-16,1,1,4.0,4.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Carnarvon bananas pdm 750g,2026-03-16,1,1,6.0,6.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Chobani greek yoghurt natural light plain 907g,2026-04-16,1,1,7.9,7.9,Woolies_interview2.pdf
Continental pasta & sauce alfredo 145g,2026-04-16,2,2,3.0,6.0,Woolies_interview2.pdf
Dairyworks cheddar slices value 32 pack,2026-03-01,1,1,8.0,8.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Dairyworks cheddar slices value 32 pack,2026-04-23,1,1,8.0,8.0,Woolworths_Invoice.pdf
Dairyworks cheddar slices value pack 32 pack,2025-12-18,1,1,8.0,8.0,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Deep cove sardines in springwater pdm 125g,2026-03-01,1,1,1.0,1.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Deep cove sardines in springwater pdm 125g,2026-04-16,2,2,1.0,2.0,Woolies_interview2.pdf
Dilmah extra strength tea bags 50 pack,2026-03-01,1,1,3.85,3.85,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Dole pineapple pieces in juice 432g,2026-01-09,1,1,3.9,3.9,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Essentials french fries pdm 1kg,2026-03-16,1,1,3.8,3.8,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Essentials long grain rice pdm 1kg,2025-12-18,1,1,1.8,1.8,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Essentials tomato paste pdm 500g,2026-03-16,1,1,1.4,1.4,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Essentials white vinegar 2l,2025-12-18,2,2,1.85,3.7,283616484-2b9506f81203467cb09672cba4d5e082.pdf
Farmers union greek style yoghurt pouch passionfruit 130g,2026-01-09,5,5,1.7,8.5,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Frisp edamame beans pdm 200g,2026-03-01,1,1,2.0,2.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
Frisp edamame beans pdm 200g,2026-03-16,1,1,2.0,2.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
Golden crumpets round 6 pack,2026-01-09,1,1,2.4,2.4,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
Golden crumpets round 6 pack,2026-04-16,1,1,2.4,2.4,Woolies_interview2.pdf
Harvey fresh lactose free hilo milk pdm 2l,2026-03-01,2,2,6.2,12.4,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
